farmers_ahead,total_qty_ahead_kg,quantity_kg,crop_type,produce_quality_grade,active_counters,staff_present,center_daily_capacity_quintals,vehicle_type,slot_hour,day_of_week,is_harvest_peak_season,weather_condition,actual_wait_time_minutes
7,6900,430,Paddy,Grade B,4,5,500,Tractor Trolley,11,4,0,Clear,43.9
2,2100,1190,Sugarcane,Grade A,5,12,1500,Tractor Trolley,9,2,0,Clear,5.8
4,4700,2050,Mustard,Grade A,5,11,4000,Tractor Trolley,15,1,1,Overcast,22.1
11,16000,2290,Paddy,Grade A,3,12,1500,Mini Truck (Pickup),12,3,1,Heavy Rain,79.0
9,8900,1140,Cotton,Grade B,3,6,1000,Tractor Trolley,13,2,1,Clear,70.8
2,2600,1750,Paddy,Grade C (High Moisture),4,8,500,Tractor Trolley,15,0,0,Clear,6.9
7,8700,1400,Soybean,Grade B,2,7,1000,Mini Truck (Pickup),13,1,0,Clear,46.9
4,5200,780,Paddy,Grade B,3,9,1500,Mini Truck (Pickup),14,1,1,Light Rain,27.5
1,1400,930,Maize,Grade A,2,3,1500,Mini Truck (Pickup),14,3,0,Clear,14.1
8,11900,490,Soybean,Grade A,3,4,1000,Tractor Trolley,12,2,0,Clear,57.4
3,3900,1340,Maize,Grade B,2,4,1500,Tractor Trolley,16,0,0,Overcast,25.5
6,6700,1440,Mustard,Grade A,3,7,1000,Tractor Trolley,11,5,0,Clear,37.2
6,8400,1720,Soybean,Grade B,1,2,1500,Mini Truck (Pickup),12,5,1,Clear,116.4
9,11900,580,Paddy,Grade A,2,6,1000,Tractor Trolley,13,6,0,Clear,48.7
12,15000,890,Wheat,Grade A,4,8,1500,Tractor Trolley,11,5,1,Clear,49.0
8,7900,360,Soybean,Grade B,3,12,1000,Tractor Trolley,12,5,1,Clear,41.6
3,4300,1940,Paddy,Grade B,3,3,2500,Mini Truck (Pickup),17,3,0,Clear,24.4
3,3400,490,Wheat,Grade A,4,10,500,Truck (6-Wheeler),13,0,0,Clear,18.2
7,10200,1270,Wheat,Grade A,2,8,500,Tractor Trolley,10,2,0,Clear,42.2
6,8300,960,Wheat,Grade C (High Moisture),2,6,1500,Tractor Trolley,14,4,1,Clear,50.8
2,2000,690,Maize,Grade B,3,6,500,Tractor Trolley,9,1,0,Clear,13.9
7,6900,1380,Mustard,Grade B,4,5,1000,Tractor Trolley,12,3,0,Overcast,51.5
8,8600,450,Wheat,Grade A,2,5,1500,Tractor Trolley,12,0,0,Clear,50.5
7,8900,1070,Soybean,Grade A,2,5,1000,Tractor Trolley,10,0,0,Clear,44.2
10,10500,760,Paddy,Grade A,3,4,1500,Mini Truck (Pickup),13,3,0,Light Rain,65.8
3,2700,1190,Maize,Grade A,5,6,1000,Tractor Trolley,17,4,1,Clear,12.0
13,18300,600,Paddy,Grade A,3,9,1000,Mini Truck (Pickup),10,2,1,Clear,50.6
1,1500,2880,Mustard,Grade A,3,4,1000,Tractor Trolley,16,6,0,Clear,9.4
2,3000,1590,Paddy,Grade C (High Moisture),4,9,1500,Mini Truck (Pickup),14,0,0,Clear,11.7
9,12600,720,Paddy,Grade A,2,4,4000,Tractor Trolley,10,6,0,Overcast,63.6
4,5500,2070,Soybean,Grade B,3,10,500,Tractor Trolley,14,2,0,Clear,17.3
7,7900,2070,Wheat,Grade C (High Moisture),2,8,1500,Bullock Cart,10,1,0,Clear,59.4
5,5700,690,Sugarcane,Grade A,2,6,500,Mini Truck (Pickup),11,4,1,Clear,41.2
1,1400,2860,Mustard,Grade A,3,4,1500,Bullock Cart,16,3,0,Clear,10.7
10,11700,1160,Paddy,Grade A,3,12,1500,Tractor Trolley,10,0,1,Clear,43.5
3,2900,2890,Mustard,Grade B,4,12,1000,Mini Truck (Pickup),9,2,0,Clear,15.9
11,16200,2060,Wheat,Grade B,2,3,1500,Tractor Trolley,11,1,1,Light Rain,133.2
11,13300,710,Cotton,Grade A,3,9,1500,Tractor Trolley,13,1,1,Overcast,61.7
12,12500,2990,Sugarcane,Grade B,1,2,1500,Tractor Trolley,11,3,1,Clear,209.1
6,5800,480,Wheat,Grade A,5,8,1500,Tractor Trolley,10,0,0,Clear,26.1
2,2500,780,Mustard,Grade A,3,10,1500,Mini Truck (Pickup),15,2,0,Overcast,10.7
11,14600,1500,Paddy,Grade B,2,7,4000,Mini Truck (Pickup),12,3,0,Clear,65.3
12,16100,1550,Mustard,Grade B,4,11,1500,Tractor Trolley,12,4,1,Light Rain,67.0
5,7500,860,Wheat,Grade A,2,2,1500,Tractor Trolley,12,2,0,Clear,43.9
6,7400,930,Paddy,Grade A,4,6,1000,Tractor Trolley,12,5,0,Clear,34.4
11,10600,2430,Sugarcane,Grade A,1,5,1500,Tractor Trolley,13,1,0,Clear,109.7
1,1000,1420,Wheat,Grade A,4,8,4000,Tractor Trolley,17,4,0,Overcast,9.5
11,15100,1310,Mustard,Grade B,2,9,500,Mini Truck (Pickup),11,1,0,Clear,76.5
5,5600,520,Cotton,Grade B,2,9,1000,Tractor Trolley,10,6,0,Clear,43.4
14,18500,1960,Cotton,Grade A,3,8,1000,Tractor Trolley,11,1,1,Overcast,83.1
2,2800,1020,Cotton,Grade B,4,12,1000,Tractor Trolley,14,0,0,Clear,12.5
1,900,1470,Cotton,Grade B,2,4,2500,Mini Truck (Pickup),16,5,0,Clear,11.5
5,5200,1520,Wheat,Grade A,2,5,500,Tractor Trolley,11,0,0,Clear,29.1
3,2900,1780,Soybean,Grade A,3,7,500,Tractor Trolley,8,2,0,Overcast,18.2
10,10300,2160,Maize,Grade A,1,4,4000,Tractor Trolley,11,5,0,Clear,92.3
12,16700,2060,Wheat,Grade B,2,6,4000,Tractor Trolley,10,5,0,Clear,64.6
9,8800,1190,Paddy,Grade B,3,11,4000,Tractor Trolley,12,4,1,Clear,49.8
8,9700,870,Maize,Grade A,2,7,4000,Truck (6-Wheeler),10,0,0,Overcast,59.8
13,13500,1420,Sugarcane,Grade B,5,8,1500,Tractor Trolley,13,0,1,Clear,70.7
7,9400,550,Chana,Grade A,5,12,4000,Bullock Cart,12,0,1,Clear,34.6
9,11500,570,Soybean,Grade B,4,12,4000,Tractor Trolley,11,5,0,Overcast,40.2
10,13300,800,Wheat,Grade A,5,11,1500,Mini Truck (Pickup),11,0,1,Clear,32.3
7,7000,1380,Soybean,Grade A,5,12,1000,Mini Truck (Pickup),10,6,0,Clear,22.0
9,9100,1300,Soybean,Grade B,4,5,1500,Mini Truck (Pickup),11,5,0,Overcast,56.6
4,4400,420,Paddy,Grade A,4,10,1500,Tractor Trolley,9,0,0,Clear,16.4
4,3600,1860,Paddy,Grade B,1,5,1500,Tractor Trolley,16,5,1,Clear,53.2
7,9100,1940,Paddy,Grade B,3,7,2500,Tractor Trolley,11,3,0,Light Rain,45.9
6,8200,2100,Mustard,Grade B,3,8,500,Tractor Trolley,11,4,0,Clear,35.5
13,12400,540,Wheat,Grade B,3,6,2500,Tractor Trolley,13,2,1,Clear,70.4
14,13000,2360,Wheat,Grade A,2,10,500,Tractor Trolley,9,2,0,Light Rain,72.3
2,2500,1160,Wheat,Grade B,2,7,4000,Tractor Trolley,9,1,1,Light Rain,28.6
2,2000,1580,Paddy,Grade B,2,3,1500,Tractor Trolley,14,3,0,Clear,24.0
4,3700,2110,Paddy,Grade A,2,8,4000,Mini Truck (Pickup),8,1,0,Clear,23.2
4,4800,5000,Maize,Grade A,4,6,1000,Tractor Trolley,14,2,0,Clear,18.9
3,3400,1340,Wheat,Grade C (High Moisture),3,3,500,Mini Truck (Pickup),15,1,0,Clear,29.5
7,9000,1550,Soybean,Grade A,5,9,2500,Mini Truck (Pickup),12,1,0,Clear,27.5
4,5100,1110,Soybean,Grade B,3,6,1000,Tractor Trolley,15,2,0,Clear,23.7
8,8700,1020,Soybean,Grade A,3,8,2500,Tractor Trolley,12,0,0,Clear,36.0
1,1000,740,Mustard,Grade A,2,3,1500,Tractor Trolley,15,1,0,Clear,13.1
13,15500,2940,Wheat,Grade C (High Moisture),2,6,1000,Tractor Trolley,12,6,1,Clear,104.4
3,3100,1200,Paddy,Grade A,2,3,500,Mini Truck (Pickup),9,5,0,Clear,31.3
7,9000,1480,Wheat,Grade B,3,9,1500,Tractor Trolley,11,5,1,Overcast,40.1
6,8800,1120,Sugarcane,Grade A,4,5,1500,Tractor Trolley,13,0,1,Light Rain,45.4
11,12700,580,Paddy,Grade B,1,3,4000,Mini Truck (Pickup),12,5,0,Clear,120.4
9,12100,380,Cotton,Grade B,2,6,1000,Truck (6-Wheeler),10,4,0,Overcast,89.7
7,6800,450,Maize,Grade A,3,9,1000,Bullock Cart,10,2,0,Clear,34.5
8,11200,1800,Chana,Grade A,2,7,1500,Truck (6-Wheeler),15,5,1,Light Rain,72.9
7,6400,1350,Maize,Grade A,2,3,1500,Truck (6-Wheeler),13,2,0,Overcast,80.7
14,15000,1620,Mustard,Grade A,3,7,1500,Tractor Trolley,12,4,0,Clear,63.8
6,7800,1050,Paddy,Grade B,4,12,1500,Truck (6-Wheeler),15,3,0,Clear,22.0
2,1800,1990,Cotton,Grade A,4,9,1500,Tractor Trolley,14,3,1,Clear,14.6
9,13100,540,Wheat,Grade B,2,4,500,Bullock Cart,12,3,1,Overcast,88.3
4,4200,640,Soybean,Grade A,3,5,500,Mini Truck (Pickup),16,0,1,Clear,24.6
10,11800,2000,Cotton,Grade A,3,11,1000,Mini Truck (Pickup),12,6,1,Clear,53.3
2,2700,2040,Wheat,Grade A,3,8,1500,Truck (6-Wheeler),14,5,0,Clear,14.3
5,5300,1250,Soybean,Grade A,3,5,1500,Bullock Cart,14,0,1,Clear,39.0
5,7000,1490,Paddy,Grade A,2,9,1500,Mini Truck (Pickup),12,2,0,Clear,30.6
5,4900,1290,Soybean,Grade A,4,7,1500,Tractor Trolley,13,2,0,Heavy Rain,54.9
2,2600,1540,Soybean,Grade C (High Moisture),3,4,4000,Bullock Cart,14,4,0,Clear,22.7
1,1100,760,Maize,Grade C (High Moisture),2,7,1500,Tractor Trolley,14,0,0,Overcast,12.1
3,3000,1120,Wheat,Grade A,2,7,1000,Tractor Trolley,8,4,1,Clear,17.5
10,11100,1470,Wheat,Grade B,2,4,1500,Tractor Trolley,11,4,0,Clear,68.6
14,13700,3190,Soybean,Grade C (High Moisture),2,2,1000,Tractor Trolley,10,1,0,Heavy Rain,220.8
7,6600,600,Soybean,Grade B,4,8,1500,Mini Truck (Pickup),11,0,0,Clear,35.9
3,4400,1080,Paddy,Grade A,4,6,1000,Tractor Trolley,9,3,1,Clear,13.8
5,7200,3440,Paddy,Grade B,2,2,500,Tractor Trolley,16,4,0,Overcast,48.6
5,4600,1900,Wheat,Grade A,3,7,1500,Mini Truck (Pickup),12,5,0,Light Rain,33.8
4,5500,1220,Chana,Grade A,1,6,4000,Mini Truck (Pickup),9,6,0,Clear,30.9
3,4200,770,Wheat,Grade A,2,2,1000,Tractor Trolley,9,5,0,Clear,23.6
7,9000,720,Wheat,Grade B,2,7,1500,Tractor Trolley,13,2,1,Clear,51.8
6,5900,1810,Mustard,Grade A,4,10,500,Tractor Trolley,11,4,0,Clear,22.2
7,8000,1070,Wheat,Grade A,2,4,1000,Truck (6-Wheeler),12,2,0,Clear,60.1
2,2500,1530,Chana,Grade B,1,7,500,Truck (6-Wheeler),12,3,0,Clear,26.0
7,7400,370,Wheat,Grade B,2,3,1500,Mini Truck (Pickup),10,4,1,Clear,74.2
8,8400,700,Wheat,Grade A,3,12,1000,Tractor Trolley,10,5,0,Overcast,31.6
5,6600,680,Cotton,Grade B,2,4,1500,Tractor Trolley,11,2,0,Clear,53.2
11,12000,1220,Paddy,Grade B,1,4,1000,Truck (6-Wheeler),12,0,1,Light Rain,188.2
5,5900,510,Wheat,Grade A,2,3,1500,Bullock Cart,14,4,0,Clear,48.5
7,9100,880,Paddy,Grade A,2,3,1500,Tractor Trolley,10,1,0,Clear,62.4
3,3200,2320,Paddy,Grade A,3,12,1500,Mini Truck (Pickup),14,1,0,Overcast,12.0
4,5700,1250,Soybean,Grade C (High Moisture),3,12,1000,Truck (6-Wheeler),15,0,0,Overcast,30.6
10,11900,1110,Wheat,Grade B,2,3,1000,Tractor Trolley,12,3,1,Clear,106.8
6,8700,540,Sugarcane,Grade A,4,9,1500,Mini Truck (Pickup),12,4,0,Clear,26.3
8,10400,4110,Mustard,Grade A,4,4,500,Truck (6-Wheeler),10,0,0,Clear,56.7
6,8700,2730,Wheat,Grade B,3,8,500,Mini Truck (Pickup),11,2,0,Clear,27.1
7,8400,1120,Wheat,Grade B,3,4,1500,Tractor Trolley,11,0,0,Overcast,49.2
5,6000,2390,Cotton,Grade A,2,3,1000,Truck (6-Wheeler),12,1,0,Light Rain,84.2
2,2300,1190,Wheat,Grade A,3,6,1000,Tractor Trolley,14,5,1,Light Rain,25.2
10,10000,620,Paddy,Grade B,2,4,1000,Tractor Trolley,13,5,1,Clear,92.5
10,14600,1390,Wheat,Grade A,2,5,500,Tractor Trolley,11,4,0,Clear,53.9
10,10900,2440,Mustard,Grade B,2,6,2500,Tractor Trolley,11,0,1,Clear,81.5
13,18000,1230,Cotton,Grade B,2,5,4000,Mini Truck (Pickup),13,5,0,Overcast,97.0
8,8400,1480,Wheat,Grade B,3,8,500,Tractor Trolley,10,2,1,Clear,41.0
3,4200,540,Cotton,Grade A,3,4,1000,Bullock Cart,14,3,0,Overcast,28.1
2,2700,1370,Maize,Grade B,2,6,1500,Bullock Cart,16,1,0,Overcast,16.7
6,6700,1880,Wheat,Grade A,2,9,1000,Tractor Trolley,14,1,1,Clear,27.0
1,1200,980,Soybean,Grade B,2,6,4000,Tractor Trolley,9,2,1,Clear,14.9
8,9500,950,Cotton,Grade A,4,11,1000,Mini Truck (Pickup),13,3,0,Heavy Rain,66.8
4,4200,510,Chana,Grade A,1,2,1000,Mini Truck (Pickup),14,4,0,Clear,47.5
5,4700,2620,Wheat,Grade A,2,3,4000,Tractor Trolley,12,5,0,Clear,42.5
14,18100,750,Sugarcane,Grade B,2,5,1000,Tractor Trolley,12,5,1,Overcast,108.2
1,1300,980,Mustard,Grade B,2,5,500,Mini Truck (Pickup),17,4,0,Clear,8.5
6,6400,850,Cotton,Grade B,1,7,1500,Mini Truck (Pickup),14,4,0,Clear,86.2
4,4500,1070,Cotton,Grade A,2,2,1500,Mini Truck (Pickup),10,1,0,Clear,48.8
7,6900,1420,Wheat,Grade A,4,10,1000,Tractor Trolley,11,5,0,Clear,27.2
11,15500,1940,Chana,Grade A,2,5,1500,Tractor Trolley,10,0,0,Clear,57.8
2,1900,870,Mustard,Grade A,2,4,1000,Bullock Cart,8,0,0,Overcast,27.6
12,14500,1440,Wheat,Grade B,2,5,1500,Truck (6-Wheeler),11,4,1,Light Rain,116.8
2,2400,1550,Wheat,Grade A,2,4,500,Tractor Trolley,14,0,0,Clear,10.6
12,11200,1330,Wheat,Grade A,3,6,1000,Mini Truck (Pickup),11,2,1,Clear,59.3
4,4700,480,Cotton,Grade B,5,12,1000,Tractor Trolley,15,0,0,Clear,15.1
12,16300,980,Cotton,Grade B,3,8,1000,Tractor Trolley,11,3,1,Clear,75.7
4,5100,1260,Paddy,Grade B,4,12,4000,Tractor Trolley,14,2,0,Light Rain,22.6
4,4400,1030,Paddy,Grade B,1,2,1500,Tractor Trolley,16,4,0,Clear,61.3
3,3000,680,Cotton,Grade A,2,6,2500,Mini Truck (Pickup),10,3,1,Clear,32.9
11,13500,860,Cotton,Grade B,2,6,2500,Tractor Trolley,11,4,0,Light Rain,95.4
7,9600,660,Wheat,Grade A,2,7,1000,Truck (6-Wheeler),12,2,0,Clear,46.5
3,4000,1830,Paddy,Grade A,4,12,1000,Tractor Trolley,8,2,1,Light Rain,20.4
6,7300,2690,Wheat,Grade A,3,10,1500,Tractor Trolley,9,5,1,Clear,24.3
10,10500,850,Soybean,Grade A,2,6,2500,Tractor Trolley,10,1,0,Overcast,63.6
6,7400,1140,Mustard,Grade A,2,6,1000,Tractor Trolley,11,3,0,Overcast,39.1
2,3000,1320,Sugarcane,Grade A,1,3,1000,Tractor Trolley,14,4,0,Overcast,20.6
7,9300,810,Paddy,Grade C (High Moisture),4,10,1000,Mini Truck (Pickup),15,4,1,Clear,29.2
8,8500,490,Soybean,Grade B,2,3,1500,Mini Truck (Pickup),10,2,1,Heavy Rain,140.2
7,9600,1680,Cotton,Grade C (High Moisture),3,9,1500,Tractor Trolley,11,0,1,Overcast,61.1
17,25200,900,Paddy,Grade B,3,8,1500,Tractor Trolley,11,0,0,Clear,70.0
3,3300,5000,Wheat,Grade C (High Moisture),3,4,2500,Truck (6-Wheeler),14,5,0,Overcast,36.6
3,2800,1790,Mustard,Grade A,4,10,1000,Mini Truck (Pickup),14,0,0,Overcast,13.2
6,8000,510,Soybean,Grade A,2,8,1500,Tractor Trolley,13,3,0,Clear,38.6
6,8700,560,Wheat,Grade A,3,7,500,Mini Truck (Pickup),14,0,1,Clear,23.8
8,8200,770,Wheat,Grade B,2,6,1500,Tractor Trolley,11,4,0,Clear,47.3
8,7500,680,Mustard,Grade B,4,9,1000,Tractor Trolley,12,1,0,Clear,35.7
1,1200,2080,Sugarcane,Grade A,3,7,2500,Tractor Trolley,8,4,0,Clear,8.0
3,4200,1150,Maize,Grade A,2,6,500,Mini Truck (Pickup),14,5,0,Clear,21.1
7,9600,1690,Paddy,Grade A,1,4,1000,Truck (6-Wheeler),10,0,0,Clear,91.6
11,12900,610,Paddy,Grade A,3,6,1000,Truck (6-Wheeler),12,3,1,Clear,76.5
5,4600,680,Paddy,Grade B,3,8,1000,Mini Truck (Pickup),14,3,1,Clear,24.9
3,3400,960,Soybean,Grade A,3,10,1500,Mini Truck (Pickup),14,1,0,Clear,16.1
4,5200,2430,Maize,Grade B,5,6,1500,Tractor Trolley,14,1,0,Clear,20.0
3,3300,1790,Cotton,Grade C (High Moisture),2,2,1000,Tractor Trolley,16,2,0,Clear,49.3
12,15600,1170,Wheat,Grade A,2,4,2500,Tractor Trolley,12,0,1,Clear,78.8
8,11500,2570,Chana,Grade C (High Moisture),2,3,1500,Truck (6-Wheeler),11,2,0,Clear,130.1
3,3900,1080,Mustard,Grade C (High Moisture),2,5,1500,Tractor Trolley,8,0,0,Light Rain,35.2
5,5400,2230,Sugarcane,Grade B,3,8,500,Mini Truck (Pickup),11,4,1,Heavy Rain,53.6
8,11000,1180,Cotton,Grade B,2,5,1500,Tractor Trolley,13,2,0,Overcast,69.8
6,7300,1740,Maize,Grade A,1,4,1500,Tractor Trolley,12,4,0,Clear,63.0
7,7700,640,Maize,Grade C (High Moisture),1,2,1500,Tractor Trolley,14,2,1,Clear,148.0
7,8000,310,Paddy,Grade A,3,9,4000,Mini Truck (Pickup),11,5,0,Clear,30.9
7,7900,940,Chana,Grade C (High Moisture),3,7,2500,Tractor Trolley,10,3,0,Clear,49.1
9,9000,1420,Wheat,Grade A,3,7,1000,Mini Truck (Pickup),13,2,0,Overcast,38.3
5,4900,1000,Maize,Grade B,2,2,1000,Tractor Trolley,11,0,0,Clear,55.6
6,7000,2290,Chana,Grade A,2,3,500,Mini Truck (Pickup),12,3,0,Clear,55.3
3,3500,450,Paddy,Grade A,3,7,4000,Tractor Trolley,16,1,0,Clear,12.5
0,0,640,Mustard,Grade C (High Moisture),2,7,4000,Tractor Trolley,14,5,1,Overcast,5.3
10,9400,790,Cotton,Grade B,2,3,1500,Tractor Trolley,10,1,1,Clear,150.3
9,10400,700,Maize,Grade B,2,4,1000,Mini Truck (Pickup),14,2,1,Clear,72.8
5,5500,440,Soybean,Grade A,1,4,2500,Tractor Trolley,11,5,0,Clear,60.8
7,7000,980,Cotton,Grade C (High Moisture),3,8,4000,Bullock Cart,13,3,0,Clear,56.6
6,6500,740,Maize,Grade B,4,10,1500,Mini Truck (Pickup),15,5,0,Clear,20.0
8,8200,970,Paddy,Grade A,2,4,1500,Tractor Trolley,13,2,0,Clear,59.2
8,7500,2340,Wheat,Grade B,3,4,2500,Truck (6-Wheeler),12,2,0,Overcast,74.0
6,7700,400,Paddy,Grade A,4,9,4000,Mini Truck (Pickup),10,2,0,Light Rain,41.2
9,11400,1020,Mustard,Grade B,2,4,1000,Tractor Trolley,13,4,1,Clear,97.3
11,13900,2140,Wheat,Grade A,3,4,2500,Bullock Cart,10,2,0,Overcast,76.5
12,11400,540,Mustard,Grade B,3,8,1000,Tractor Trolley,11,4,1,Clear,62.6
4,4200,820,Paddy,Grade B,4,12,1000,Mini Truck (Pickup),17,2,0,Clear,15.8
3,3800,410,Maize,Grade B,3,8,1000,Tractor Trolley,15,5,0,Clear,17.6
13,17100,1100,Wheat,Grade B,3,7,4000,Truck (6-Wheeler),11,2,1,Heavy Rain,119.8
13,15100,1740,Mustard,Grade B,2,6,1000,Tractor Trolley,11,3,1,Clear,105.4
3,3300,1150,Mustard,Grade A,3,2,1500,Tractor Trolley,16,4,0,Clear,22.1
10,14200,1080,Chana,Grade A,3,8,1500,Tractor Trolley,11,4,1,Overcast,44.2
11,14800,1070,Mustard,Grade A,3,6,1000,Mini Truck (Pickup),11,0,1,Clear,72.4
4,5600,1470,Maize,Grade A,3,9,2500,Tractor Trolley,12,1,0,Clear,21.0
5,4500,1110,Soybean,Grade A,4,5,500,Mini Truck (Pickup),8,0,1,Overcast,37.7
8,11800,280,Mustard,Grade B,2,5,1500,Tractor Trolley,13,2,1,Clear,76.3
5,6600,900,Paddy,Grade A,2,2,1000,Tractor Trolley,9,0,0,Overcast,41.3
1,1200,1420,Soybean,Grade B,5,12,4000,Mini Truck (Pickup),14,4,0,Overcast,5.3
3,2900,2140,Maize,Grade A,1,3,1500,Tractor Trolley,9,5,0,Clear,27.7
3,4100,3480,Paddy,Grade A,2,3,1500,Mini Truck (Pickup),9,4,1,Clear,31.3
8,11300,1090,Mustard,Grade A,3,5,4000,Mini Truck (Pickup),13,3,0,Overcast,58.7
7,6500,1420,Soybean,Grade A,3,10,1000,Tractor Trolley,10,2,0,Clear,34.6
4,3800,670,Sugarcane,Grade A,3,10,2500,Tractor Trolley,12,2,0,Light Rain,28.4
13,16200,330,Chana,Grade B,4,8,500,Tractor Trolley,13,2,1,Clear,64.1
4,3900,720,Paddy,Grade A,4,7,1500,Tractor Trolley,14,5,1,Light Rain,37.3
7,7900,780,Paddy,Grade A,3,11,500,Mini Truck (Pickup),11,2,0,Clear,31.2
4,3600,450,Wheat,Grade A,3,12,1000,Mini Truck (Pickup),16,1,0,Clear,17.9
7,7100,990,Wheat,Grade A,3,5,1000,Tractor Trolley,10,3,0,Clear,42.1
11,12000,700,Soybean,Grade B,2,2,2500,Tractor Trolley,11,1,0,Clear,123.0
9,12600,1040,Paddy,Grade A,4,9,500,Truck (6-Wheeler),10,1,0,Clear,46.7
4,4000,1460,Mustard,Grade A,4,9,1500,Mini Truck (Pickup),9,0,1,Overcast,18.1
8,8900,700,Mustard,Grade A,1,2,1000,Bullock Cart,11,4,1,Clear,163.4
12,12700,1270,Maize,Grade C (High Moisture),5,12,1500,Truck (6-Wheeler),10,3,1,Clear,67.0
6,6900,460,Wheat,Grade A,4,8,1000,Tractor Trolley,15,4,0,Overcast,18.4
7,9600,790,Paddy,Grade A,4,8,1500,Mini Truck (Pickup),12,5,0,Light Rain,41.3
12,17500,2760,Paddy,Grade B,3,7,1000,Mini Truck (Pickup),11,3,0,Clear,56.3
5,6000,1640,Paddy,Grade B,4,9,2500,Tractor Trolley,15,4,0,Clear,22.8
8,9400,1150,Sugarcane,Grade A,2,5,1000,Mini Truck (Pickup),9,3,1,Clear,48.6
8,11500,1030,Maize,Grade B,2,4,1500,Tractor Trolley,10,0,1,Light Rain,76.0
3,3000,860,Paddy,Grade B,1,4,500,Truck (6-Wheeler),9,2,0,Clear,44.4
7,8200,2390,Soybean,Grade A,2,5,1000,Mini Truck (Pickup),10,5,0,Clear,47.2
10,13600,580,Paddy,Grade C (High Moisture),4,10,500,Mini Truck (Pickup),10,0,1,Light Rain,65.6
12,11200,1120,Maize,Grade B,3,8,1500,Mini Truck (Pickup),11,1,0,Clear,50.1
7,9300,2600,Wheat,Grade A,2,6,500,Tractor Trolley,14,4,0,Clear,30.7
3,3000,1710,Maize,Grade C (High Moisture),2,4,1000,Mini Truck (Pickup),9,6,1,Clear,34.0
4,4900,880,Paddy,Grade A,2,3,500,Mini Truck (Pickup),10,1,0,Clear,35.4
4,3600,780,Wheat,Grade B,3,6,1000,Tractor Trolley,12,4,0,Clear,19.3
5,5600,1020,Wheat,Grade B,2,6,1500,Tractor Trolley,14,4,0,Clear,28.5
4,5200,4380,Paddy,Grade A,2,3,1500,Tractor Trolley,16,2,0,Clear,36.7
11,12600,1270,Maize,Grade A,3,7,1500,Tractor Trolley,10,1,1,Clear,52.9
4,4700,1090,Wheat,Grade A,4,7,1000,Truck (6-Wheeler),15,5,0,Clear,20.3
4,4200,1760,Mustard,Grade A,3,6,2500,Mini Truck (Pickup),11,1,0,Clear,21.9
4,5200,1120,Mustard,Grade B,1,2,1000,Mini Truck (Pickup),14,2,0,Light Rain,83.3
8,9600,2890,Mustard,Grade B,3,5,1000,Tractor Trolley,12,5,0,Clear,65.0
17,20500,1100,Maize,Grade A,4,12,500,Mini Truck (Pickup),12,0,1,Clear,48.3
9,12200,1820,Wheat,Grade B,3,5,1000,Tractor Trolley,13,3,0,Clear,55.8
3,4300,1450,Cotton,Grade A,3,7,1000,Mini Truck (Pickup),10,2,0,Clear,23.2
7,9300,590,Chana,Grade A,4,8,1500,Bullock Cart,12,0,0,Clear,36.1
10,10100,640,Cotton,Grade B,3,9,500,Mini Truck (Pickup),12,0,1,Clear,64.1
2,2100,910,Cotton,Grade A,3,12,1000,Mini Truck (Pickup),9,4,0,Clear,11.2
6,8000,1760,Mustard,Grade A,3,4,1000,Mini Truck (Pickup),10,1,0,Clear,41.2
3,3500,2920,Paddy,Grade C (High Moisture),2,4,2500,Tractor Trolley,11,1,0,Heavy Rain,66.6
10,13300,1010,Mustard,Grade A,2,6,2500,Mini Truck (Pickup),11,1,1,Heavy Rain,92.0
4,5200,1950,Soybean,Grade B,3,7,1000,Tractor Trolley,14,0,1,Clear,24.5
10,13400,1900,Wheat,Grade A,1,2,2500,Tractor Trolley,11,2,0,Clear,116.1
10,10500,1070,Soybean,Grade A,3,7,1500,Truck (6-Wheeler),13,0,0,Clear,56.8
10,10000,650,Wheat,Grade A,3,5,1500,Tractor Trolley,10,0,0,Overcast,49.3
1,900,600,Paddy,Grade B,3,10,500,Tractor Trolley,16,5,0,Clear,6.4
4,5800,700,Soybean,Grade C (High Moisture),1,2,1000,Tractor Trolley,9,3,1,Clear,93.5
10,11000,1260,Maize,Grade B,3,10,1000,Tractor Trolley,10,4,0,Clear,42.8
9,8900,1060,Soybean,Grade A,3,7,1500,Bullock Cart,10,0,0,Clear,52.6
6,6600,1740,Chana,Grade A,2,7,500,Mini Truck (Pickup),10,4,0,Clear,29.9
4,4400,1660,Paddy,Grade A,2,5,1000,Mini Truck (Pickup),17,1,1,Clear,24.5
11,16300,660,Mustard,Grade A,1,3,2500,Truck (6-Wheeler),12,1,1,Light Rain,191.4
3,3700,430,Paddy,Grade A,2,4,1500,Truck (6-Wheeler),10,3,1,Clear,34.1
4,4100,280,Paddy,Grade A,2,6,4000,Bullock Cart,12,5,0,Clear,29.5
12,11900,2260,Paddy,Grade A,2,7,1000,Tractor Trolley,12,5,0,Light Rain,73.4
6,7700,1060,Maize,Grade C (High Moisture),2,11,2500,Tractor Trolley,11,0,0,Light Rain,63.0
4,5200,470,Cotton,Grade B,2,4,1000,Mini Truck (Pickup),17,5,0,Clear,39.4
6,9000,360,Maize,Grade A,2,2,1500,Truck (6-Wheeler),12,0,0,Heavy Rain,89.2
7,8900,750,Maize,Grade A,1,2,4000,Truck (6-Wheeler),9,4,0,Clear,112.4
